year,state_abbr,state_name, population , violent_crime , homicide , rape , robbery , aggravated_assault 
2018,TN,Tennessee,6771631,42687,508,3011,7222,31946
2018,TX,Texas,28628666,118197,1327,15098,28339,73433
2018,UT,Utah,3153550,7551,63,1854,1237,4397
2018,VA,Virginia,8501286,17357,417,3072,3610,10258
2018,VT,Vermont,624358,1155,11,326,73,745
2018,WA,Washington,7523869,23719,236,3610,5557,14316
2018,WI,Wisconsin,5807406,17365,175,2333,3493,11364
2018,WV,West Virginia,1804291,5411,76,716,333,4286
2018,WY,Wyoming,577601,1235,14,261,75,885
2019,AK,Alaska,731545,6343,69,1088,826,4360
2019,AL,Alabama,4903185,25046,358,2068,3941,18679
2019,AR,Arkansas,3017804,17643,242,2331,1557,13513
2019,AZ,Arizona,7278717,33141,365,3662,6410,22704
2019,CA,California,39512223,174331,1690,14799,52301,105541
2019,CO,Colorado,5758736,21938,218,3872,3663,14185
2019,CT,Connecticut,3565287,6546,104,771,1929,3742
2019,DC,District of Columbia,705749,7403,166,345,2713,4179
2019,DE,Delaware,973764,4115,48,310,790,2967
2019,FL,Florida,21477737,81270,1122,8456,16217,55475
2019,GA,Georgia,10617423,36170,654,2922,7961,24633
2019,HI,Hawaii,1415872,4042,48,765,1131,2098
2019,IA,Iowa,3155070,8410,60,1164,863,6323
2019,ID,Idaho,1787065,4000,35,809,155,3001
2019,IL,Illinois,12671821,51561,832,6078,12464,32187
2019,IN,Indiana,6732219,24966,377,2475,5331,16783
2019,KS,Kansas,2913314,11968,105,1416,1293,9154
2019,KY,Kentucky,4467673,9701,221,1572,2161,5747
2019,LA,Louisiana,4648794,25537,544,2273,4025,18695
2019,MA,Massachusetts,6892503,22578,152,2204,3613,16609
2019,MD,Maryland,6045680,27456,542,1913,9203,15798
2019,ME,Maine,1344212,1548,20,516,188,824
2019,MI,Michigan,9986857,43686,556,7235,5350,30545
2019,MN,Minnesota,5639632,13332,117,2448,3149,7618
2019,MO,Missouri,6137428,30380,568,2917,4959,21936
2019,MS,Mississippi,2976149,8272,332,747,1700,5493
2019,MT,Montana,1068778,4328,27,624,205,3472
2019,NC,North Carolina,10488084,38995,632,3247,7599,27517
2019,ND,North Dakota,762062,2169,24,437,179,1529
2019,NE,Nebraska,1934408,5821,45,1253,792,3731
2019,NH,New Hampshire,1359711,2074,33,590,313,1138
2019,NJ,New Jersey,8882190,18375,262,1531,5730,10852
2019,NM,New Mexico,2096829,17450,181,1288,2341,13640
2019,NV,Nevada,3080156,15210,143,2161,3286,9620
2019,NY,New York,19453561,69764,558,6583,18068,44555
2019,OH,Ohio,11689100,34269,538,5731,8846,19154
2019,OK,Oklahoma,3956971,17086,266,2268,2369,12183
2019,OR,Oregon,4217737,11995,116,1778,2276,7825
2019,PA,Pennsylvania,12801989,39228,669,4351,9743,24465
2019,RI,Rhode Island,1059361,2342,25,491,418,1408
2019,SC,South Carolina,5148714,26323,464,2460,3294,20105
2019,SD,South Dakota,884659,3530,17,642,195,2676
2019,TN,Tennessee,6829174,40647,498,2813,6150,31186
2019,TX,Texas,28995881,121474,1409,14824,28988,76253
2019,UT,Utah,3205958,7553,72,1822,1125,4534
2019,VA,Virginia,8535519,17753,426,2816,3524,10987
2019,VT,Vermont,623989,1262,11,278,71,902
2019,WA,Washington,7614893,22377,198,3332,5147,13700
2019,WI,Wisconsin,5822434,17070,175,2261,2991,11643
2019,WV,West Virginia,1792147,5674,78,754,378,4464
2019,WY,Wyoming,578759,1258,13,324,67,854
